Week,City,Longitude,Latitude,Polarity_Mean,Subjectivity_Mean,Number_of_Tweets
1,new york,-74.0,40.71,0.09,0.499,1426
1,los angeles,-118.24,34.05,0.067,0.511,1299
1,chicago,-87.62,41.87,0.073,0.51,501
1,houston,-95.36,29.76,0.073,0.505,452
1,phoenix,-112.07,33.44,0.063,0.5,327
1,san antonio,-98.49,29.42,0.069,0.498,275
1,philadelphia,-75.16,39.95,0.091,0.497,362
1,san diego,-117.16,32.71,0.085,0.501,257
1,dallas,-96.79,32.77,0.08,0.509,369
1,san jose,-121.88,37.33,0.067,0.503,291
1,austin,-97.74,30.26,0.095,0.502,426
1,jacksonville,-81.65,30.33,0.087,0.501,14
1,fort worth,-97.33,32.75,0.067,0.494,80
1,san francisco,-122.41,37.77,0.085,0.499,682
1,charlotte,-80.84,35.22,0.085,0.499,124
1,columbus,-82.99,39.96,0.085,0.484,193
1,indianapolis,-86.15,39.76,0.071,0.492,219
1,seattle,-122.33,47.6,0.088,0.492,732
1,denver,-104.99,39.73,0.055,0.513,245
1,washington,-77.03,38.9,0.102,0.497,924
2,new york,-74.0,40.71,0.095,0.489,2530
2,los angeles,-118.24,34.05,0.085,0.496,1943
2,chicago,-87.62,41.87,0.073,0.503,1608
2,houston,-95.36,29.76,0.062,0.509,1298
2,phoenix,-112.07,33.44,0.073,0.505,1060
2,san antonio,-98.49,29.42,0.049,0.502,659
2,philadelphia,-75.16,39.95,0.072,0.499,1270
2,san diego,-117.16,32.71,0.084,0.498,935
2,dallas,-96.79,32.77,0.062,0.496,1300
2,san jose,-121.88,37.33,0.066,0.495,689
2,austin,-97.74,30.26,0.085,0.492,881
2,jacksonville,-81.65,30.33,0.146,0.514,66
2,fort worth,-97.33,32.75,0.052,0.482,322
2,san francisco,-122.41,37.77,0.086,0.495,868
2,charlotte,-80.84,35.22,0.097,0.487,508
2,columbus,-82.99,39.96,0.079,0.491,695
2,indianapolis,-86.15,39.76,0.081,0.509,820
2,seattle,-122.33,47.6,0.092,0.491,1155
2,denver,-104.99,39.73,0.07,0.493,688
2,washington,-77.03,38.9,0.091,0.491,1821
3,new york,-74.0,40.71,0.104,0.484,2509
3,los angeles,-118.24,34.05,0.093,0.49,1775
3,chicago,-87.62,41.87,0.106,0.491,1752
3,houston,-95.36,29.76,0.079,0.495,1617
3,phoenix,-112.07,33.44,0.12,0.496,1039
3,san antonio,-98.49,29.42,0.068,0.487,780
3,philadelphia,-75.16,39.95,0.087,0.491,1252
3,san diego,-117.16,32.71,0.086,0.494,1018
3,dallas,-96.79,32.77,0.08,0.491,1017
3,san jose,-121.88,37.33,0.09,0.48,755
3,austin,-97.74,30.26,0.101,0.473,873
3,jacksonville,-81.65,30.33,0.117,0.489,101
3,fort worth,-97.33,32.75,0.088,0.489,451
3,san francisco,-122.41,37.77,0.091,0.478,1627
3,charlotte,-80.84,35.22,0.115,0.482,562
3,columbus,-82.99,39.96,0.118,0.478,297
3,indianapolis,-86.15,39.76,0.084,0.474,720
3,seattle,-122.33,47.6,0.117,0.477,1042
3,denver,-104.99,39.73,0.09,0.484,774
3,washington,-77.03,38.9,0.109,0.472,2176
4,new york,-74.0,40.71,0.119,0.489,2575
4,los angeles,-118.24,34.05,0.11,0.485,1627
4,chicago,-87.62,41.87,0.096,0.498,1138
4,houston,-95.36,29.76,0.096,0.49,1035
4,phoenix,-112.07,33.44,0.106,0.494,857
4,san antonio,-98.49,29.42,0.112,0.48,605
4,philadelphia,-75.16,39.95,0.094,0.494,956
4,san diego,-117.16,32.71,0.089,0.481,842
4,dallas,-96.79,32.77,0.113,0.488,1044
4,san jose,-121.88,37.33,0.117,0.495,506
4,austin,-97.74,30.26,0.126,0.481,556
4,jacksonville,-81.65,30.33,0.111,0.433,69
4,fort worth,-97.33,32.75,0.095,0.489,282
4,san francisco,-122.41,37.77,0.118,0.482,1259
4,charlotte,-80.84,35.22,0.088,0.495,396
4,columbus,-82.99,39.96,0.094,0.479,396
4,indianapolis,-86.15,39.76,0.099,0.485,520
4,seattle,-122.33,47.6,0.116,0.49,456
4,denver,-104.99,39.73,0.112,0.493,530
4,washington,-77.03,38.9,0.105,0.479,2046
5,new york,-74.0,40.71,0.102,0.487,2599
5,los angeles,-118.24,34.05,0.09,0.488,2381
5,chicago,-87.62,41.87,0.094,0.485,947
5,houston,-95.36,29.76,0.086,0.502,524
5,phoenix,-112.07,33.44,0.078,0.514,653
5,san antonio,-98.49,29.42,0.099,0.507,508
5,philadelphia,-75.16,39.95,0.124,0.487,761
5,san diego,-117.16,32.71,0.102,0.481,631
5,dallas,-96.79,32.77,0.092,0.486,883
5,san jose,-121.88,37.33,0.098,0.494,404
5,austin,-97.74,30.26,0.132,0.461,528
5,jacksonville,-81.65,30.33,0.102,0.457,59
5,fort worth,-97.33,32.75,0.124,0.482,216
5,san francisco,-122.41,37.77,0.087,0.471,936
5,charlotte,-80.84,35.22,0.103,0.484,314
5,columbus,-82.99,39.96,0.098,0.465,358
5,indianapolis,-86.15,39.76,0.103,0.494,434
5,seattle,-122.33,47.6,0.101,0.495,664
5,denver,-104.99,39.73,0.088,0.489,408
5,washington,-77.03,38.9,0.122,0.482,1905
6,new york,-74.0,40.71,0.112,0.486,2624
6,los angeles,-118.24,34.05,0.093,0.498,2254
6,chicago,-87.62,41.87,0.097,0.491,745
6,houston,-95.36,29.76,0.101,0.483,745
6,phoenix,-112.07,33.44,0.086,0.469,516
6,san antonio,-98.49,29.42,0.096,0.512,162
6,philadelphia,-75.16,39.95,0.077,0.483,681
6,san diego,-117.16,32.71,0.124,0.488,439
6,dallas,-96.79,32.77,0.093,0.493,630
6,san jose,-121.88,37.33,0.085,0.483,323
6,austin,-97.74,30.26,0.097,0.479,408
6,jacksonville,-81.65,30.33,0.126,0.518,53
6,fort worth,-97.33,32.75,0.08,0.424,141
6,san francisco,-122.41,37.77,0.111,0.469,887
6,charlotte,-80.84,35.22,0.088,0.483,237
6,columbus,-82.99,39.96,0.122,0.47,339
6,indianapolis,-86.15,39.76,0.097,0.491,357
6,seattle,-122.33,47.6,0.148,0.486,495
6,denver,-104.99,39.73,0.102,0.486,367
6,washington,-77.03,38.9,0.113,0.476,1615
7,new york,-74.0,40.71,0.092,0.478,2340
7,los angeles,-118.24,34.05,0.084,0.492,2465
7,chicago,-87.62,41.87,0.106,0.47,2501
7,houston,-95.36,29.76,0.106,0.484,2024
7,phoenix,-112.07,33.44,0.1,0.471,1242
7,san antonio,-98.49,29.42,0.106,0.473,740
7,philadelphia,-75.16,39.95,0.107,0.478,2235
7,san diego,-117.16,32.71,0.102,0.474,1440
7,dallas,-96.79,32.77,0.102,0.474,1937
7,san jose,-121.88,37.33,0.151,0.509,1251
7,austin,-97.74,30.26,0.103,0.468,1039
7,jacksonville,-81.65,30.33,0.106,0.48,337
7,fort worth,-97.33,32.75,0.12,0.477,414
7,san francisco,-122.41,37.77,0.115,0.474,2457
7,charlotte,-80.84,35.22,0.118,0.469,725
7,columbus,-82.99,39.96,0.117,0.473,838
7,indianapolis,-86.15,39.76,0.116,0.476,897
7,seattle,-122.33,47.6,0.11,0.478,1778
7,denver,-104.99,39.73,0.108,0.475,1033
7,washington,-77.03,38.9,0.104,0.467,2520
8,new york,-74.0,40.71,0.112,0.484,2607
8,los angeles,-118.24,34.05,0.105,0.494,1652
8,chicago,-87.62,41.87,0.09,0.495,544
8,houston,-95.36,29.76,0.095,0.494,473
8,phoenix,-112.07,33.44,0.101,0.488,355
8,san antonio,-98.49,29.42,0.096,0.509,222
8,philadelphia,-75.16,39.95,0.076,0.484,491
8,san diego,-117.16,32.71,0.113,0.488,359
8,dallas,-96.79,32.77,0.072,0.479,426
8,san jose,-121.88,37.33,0.111,0.492,226
8,austin,-97.74,30.26,0.127,0.484,319
8,jacksonville,-81.65,30.33,0.032,0.531,33
8,fort worth,-97.33,32.75,0.115,0.456,113
8,san francisco,-122.41,37.77,0.115,0.506,365
8,charlotte,-80.84,35.22,0.139,0.461,190
8,columbus,-82.99,39.96,0.092,0.492,217
8,indianapolis,-86.15,39.76,0.135,0.487,234
8,seattle,-122.33,47.6,0.097,0.494,383
8,denver,-104.99,39.73,0.092,0.495,277
8,washington,-77.03,38.9,0.122,0.487,1141
9,new york,-74.0,40.71,0.114,0.485,2344
9,los angeles,-118.24,34.05,0.101,0.489,1391
9,chicago,-87.62,41.87,0.112,0.493,555
9,houston,-95.36,29.76,0.102,0.493,431
9,phoenix,-112.07,33.44,0.102,0.489,318
9,san antonio,-98.49,29.42,0.1,0.509,190
9,philadelphia,-75.16,39.95,0.114,0.49,435
9,san diego,-117.16,32.71,0.119,0.512,302
9,dallas,-96.79,32.77,0.126,0.476,390
9,san jose,-121.88,37.33,0.1,0.512,178
9,austin,-97.74,30.26,0.134,0.481,257
9,jacksonville,-81.65,30.33,0.093,0.437,33
9,fort worth,-97.33,32.75,0.093,0.494,93
9,san francisco,-122.41,37.77,0.107,0.479,501
9,charlotte,-80.84,35.22,0.096,0.472,156
9,columbus,-82.99,39.96,0.094,0.523,160
9,indianapolis,-86.15,39.76,0.104,0.476,231
9,seattle,-122.33,47.6,0.148,0.482,291
9,denver,-104.99,39.73,0.129,0.491,231
9,washington,-77.03,38.9,0.122,0.479,953
10,new york,-74.0,40.71,0.114,0.477,2570
10,los angeles,-118.24,34.05,0.106,0.477,2521
10,chicago,-87.62,41.87,0.104,0.466,1485
10,houston,-95.36,29.76,0.105,0.485,2427
10,phoenix,-112.07,33.44,0.102,0.473,2533
10,san antonio,-98.49,29.42,0.105,0.471,2135
10,philadelphia,-75.16,39.95,0.112,0.465,1770
10,san diego,-117.16,32.71,0.112,0.471,2547
10,dallas,-96.79,32.77,0.105,0.473,2436
10,san jose,-121.88,37.33,0.156,0.508,2482
10,austin,-97.74,30.26,0.111,0.465,1433
10,jacksonville,-81.65,30.33,0.104,0.454,1099
10,fort worth,-97.33,32.75,0.132,0.457,1553
10,san francisco,-122.41,37.77,0.118,0.476,2623
10,charlotte,-80.84,35.22,0.116,0.473,2240
10,columbus,-82.99,39.96,0.112,0.47,2379
10,indianapolis,-86.15,39.76,0.123,0.468,2304
10,seattle,-122.33,47.6,0.115,0.482,2556
10,denver,-104.99,39.73,0.093,0.472,2170
10,washington,-77.03,38.9,0.126,0.457,2667
11,new york,-74.0,40.71,0.109,0.478,1999
11,los angeles,-118.24,34.05,0.112,0.497,1154
11,chicago,-87.62,41.87,0.064,0.496,477
11,houston,-95.36,29.76,0.121,0.499,326
11,phoenix,-112.07,33.44,0.09,0.497,293
11,san antonio,-98.49,29.42,0.081,0.504,160
11,philadelphia,-75.16,39.95,0.096,0.487,402
11,san diego,-117.16,32.71,0.113,0.476,307
11,dallas,-96.79,32.77,0.112,0.492,382
11,san jose,-121.88,37.33,0.082,0.489,207
11,austin,-97.74,30.26,0.151,0.472,227
11,jacksonville,-81.65,30.33,0.194,0.513,22
11,fort worth,-97.33,32.75,0.105,0.472,96
11,san francisco,-122.41,37.77,0.096,0.48,449
11,charlotte,-80.84,35.22,0.096,0.485,146
11,columbus,-82.99,39.96,0.125,0.479,66
11,indianapolis,-86.15,39.76,0.074,0.485,201
11,seattle,-122.33,47.6,0.119,0.496,317
11,denver,-104.99,39.73,0.08,0.464,197
11,washington,-77.03,38.9,0.12,0.469,887
12,new york,-74.0,40.71,0.131,0.475,240
12,los angeles,-118.24,34.05,0.103,0.487,2460
12,chicago,-87.62,41.87,0.112,0.475,2476
